date,store_id,sku_id,qty_sold,stock_on_hand
2025-01-01,store_21,sku_1514,9,14
2025-01-01,store_34,sku_1603,5,76
2025-01-01,store_14,sku_397,5,66
2025-01-01,store_49,sku_1533,4,89
2025-01-01,store_41,sku_1859,7,99
2025-01-01,store_34,sku_1528,6,26
2025-01-01,store_4,sku_1680,2,91
2025-01-01,store_17,sku_1618,14,29
2025-01-01,store_17,sku_1215,3,5
2025-01-01,store_24,sku_1001,1,96
2025-01-01,store_1,sku_554,8,65
2025-01-01,store_41,sku_842,4,35
2025-01-01,store_30,sku_901,7,7
2025-01-01,store_38,sku_332,5,45
2025-01-01,store_24,sku_408,5,13
2025-01-01,store_2,sku_1774,6,66
2025-01-01,store_49,sku_2,3,29
2025-01-01,store_11,sku_35,10,36
2025-01-01,store_20,sku_1262,3,23
2025-01-01,store_11,sku_1383,2,37
2025-01-01,store_33,sku_1297,5,95
2025-01-01,store_45,sku_49,5,77
2025-01-01,store_46,sku_1605,4,27
2025-01-01,store_47,sku_388,4,58
2025-01-01,store_31,sku_826,6,66
2025-01-01,store_38,sku_297,8,71
2025-01-01,store_36,sku_1772,4,28
2025-01-01,store_42,sku_1897,6,53
2025-01-01,store_31,sku_1854,3,14
2025-01-01,store_30,sku_582,4,56
2025-01-01,store_22,sku_1580,4,51
2025-01-01,store_36,sku_1698,6,29
2025-01-01,store_21,sku_336,9,61
2025-01-01,store_33,sku_734,3,87
2025-01-01,store_2,sku_312,4,86
2025-01-01,store_33,sku_570,3,11
2025-01-01,store_19,sku_1395,7,99
2025-01-01,store_5,sku_228,5,45
2025-01-01,store_2,sku_1937,5,8
2025-01-01,store_30,sku_322,3,82
2025-01-01,store_42,sku_395,4,14
2025-01-01,store_27,sku_1791,3,62
2025-01-01,store_13,sku_803,2,86
2025-01-01,store_26,sku_635,4,98
2025-01-01,store_30,sku_506,6,71
2025-01-01,store_6,sku_1583,1,56
2025-01-01,store_35,sku_1033,5,85
2025-01-01,store_48,sku_1509,6,56
2025-01-01,store_27,sku_94,2,5
2025-01-01,store_48,sku_1703,5,13
2025-01-01,store_45,sku_715,3,77
2025-01-01,store_6,sku_245,5,36
2025-01-01,store_18,sku_714,7,15
2025-01-01,store_1,sku_1411,7,58
2025-01-01,store_24,sku_1087,6,73
2025-01-01,store_41,sku_793,4,16
2025-01-01,store_2,sku_1874,10,96
2025-01-01,store_41,sku_1473,2,77
2025-01-01,store_20,sku_1961,1,20
2025-01-01,store_25,sku_11,5,34
2025-01-01,store_10,sku_1692,4,46
2025-01-01,store_19,sku_1235,8,26
2025-01-01,store_10,sku_645,2,90
2025-01-01,store_49,sku_1643,5,61
2025-01-01,store_40,sku_725,3,92
2025-01-01,store_49,sku_1568,3,26
2025-01-01,store_5,sku_1201,7,14
2025-01-01,store_48,sku_918,4,59
2025-01-01,store_27,sku_563,3,90
2025-01-01,store_13,sku_1689,4,60
2025-01-01,store_28,sku_11,6,8
2025-01-01,store_9,sku_619,6,39
2025-01-01,store_40,sku_1285,4,62
2025-01-01,store_31,sku_290,3,21
2025-01-01,store_33,sku_358,7,17
2025-01-01,store_8,sku_672,5,53
2025-01-01,store_9,sku_999,0,59
2025-01-01,store_48,sku_1331,2,46
2025-01-01,store_39,sku_1981,6,42
2025-01-01,store_1,sku_689,4,84
2025-01-01,store_30,sku_681,4,8
2025-01-01,store_37,sku_1271,0,19
2025-01-01,store_43,sku_85,10,76
2025-01-01,store_2,sku_1382,7,17
2025-01-01,store_11,sku_1728,3,37
2025-01-01,store_26,sku_1989,2,47
2025-01-01,store_29,sku_1078,7,70
2025-01-01,store_20,sku_1741,0,80
2025-01-01,store_33,sku_1301,3,13
2025-01-01,store_12,sku_614,6,94
2025-01-01,store_32,sku_983,5,78
2025-01-01,store_34,sku_1144,4,53
2025-01-01,store_13,sku_313,3,76
2025-01-01,store_16,sku_399,3,27
2025-01-01,store_12,sku_1838,8,58
2025-01-01,store_7,sku_1839,7,77
2025-01-01,store_46,sku_1626,7,32
2025-01-01,store_25,sku_1106,9,74
2025-01-01,store_7,sku_597,15,42
2025-01-01,store_22,sku_1424,5,97
2025-01-01,store_8,sku_1049,8,28
2025-01-01,store_45,sku_1766,5,87
2025-01-01,store_13,sku_1647,6,63
2025-01-01,store_49,sku_1306,2,33
2025-01-01,store_49,sku_1192,5,58
2025-01-01,store_2,sku_899,3,62
2025-01-01,store_25,sku_790,5,82
2025-01-01,store_35,sku_278,1,27
2025-01-01,store_30,sku_1875,12,67
2025-01-01,store_34,sku_1797,12,67
2025-01-01,store_43,sku_1622,7,7
2025-01-01,store_49,sku_1915,7,71
2025-01-01,store_4,sku_1788,6,36
2025-01-01,store_23,sku_1104,2,87
2025-01-01,store_45,sku_1472,7,63
2025-01-01,store_43,sku_1325,2,51
2025-01-01,store_39,sku_1310,3,26
2025-01-01,store_10,sku_562,7,94
2025-01-01,store_28,sku_838,0,74
2025-01-01,store_46,sku_1730,2,10
2025-01-01,store_35,sku_1651,1,51
2025-01-01,store_3,sku_772,7,81
2025-01-01,store_7,sku_1833,4,45
2025-01-01,store_36,sku_1255,7,39
2025-01-01,store_40,sku_1686,1,18
2025-01-01,store_24,sku_797,6,84
2025-01-01,store_18,sku_1569,10,13
2025-01-01,store_31,sku_632,6,85
2025-01-01,store_2,sku_299,5,24
2025-01-01,store_31,sku_786,5,78
2025-01-01,store_37,sku_971,1,68
2025-01-01,store_44,sku_1671,5,79
2025-01-01,store_37,sku_829,9,29
2025-01-01,store_27,sku_792,12,59
2025-01-01,store_44,sku_1757,3,49
2025-01-01,store_3,sku_526,5,54
2025-01-01,store_3,sku_1348,6,45
2025-01-01,store_34,sku_1961,1,96
2025-01-01,store_1,sku_1912,8,82
2025-01-01,store_19,sku_100,3,42
2025-01-01,store_23,sku_104,1,86
2025-01-01,store_30,sku_315,2,96
2025-01-01,store_6,sku_911,8,14
2025-01-01,store_46,sku_257,3,72
2025-01-01,store_4,sku_686,5,76
2025-01-01,store_22,sku_1866,6,65
2025-01-01,store_24,sku_106,4,87
2025-01-01,store_25,sku_1058,3,37
2025-01-01,store_14,sku_1257,9,55
2025-01-01,store_18,sku_160,6,28
2025-01-01,store_44,sku_1658,6,45
2025-01-01,store_26,sku_1807,3,87
2025-01-01,store_20,sku_834,6,8
2025-01-01,store_16,sku_17,3,79
2025-01-01,store_43,sku_1968,4,40
2025-01-01,store_39,sku_1660,7,62
2025-01-01,store_24,sku_278,4,75
2025-01-01,store_42,sku_1597,5,93
2025-01-01,store_33,sku_623,3,95
2025-01-01,store_49,sku_275,10,30
2025-01-01,store_38,sku_819,3,52
2025-01-01,store_33,sku_1334,8,7
2025-01-01,store_30,sku_1566,6,42
2025-01-01,store_28,sku_487,4,9
2025-01-01,store_14,sku_468,5,78
2025-01-01,store_9,sku_1951,2,26
2025-01-01,store_42,sku_459,3,30
2025-01-01,store_31,sku_64,6,22
2025-01-01,store_45,sku_839,5,68
2025-01-01,store_37,sku_983,10,14
2025-01-01,store_14,sku_450,2,64
